ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
15,republican,n,y,n,y,y,y,n,n,n,n,n,y,unknown,unknown,n,unknown
326,democrat,n,y,n,n,y,y,n,n,unknown,n,n,y,y,y,n,y
93,democrat,y,y,y,n,n,n,y,y,n,y,y,n,n,unknown,y,y
350,republican,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y
283,republican,y,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
201,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
54,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
411,republican,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y
195,democrat,n,n,y,n,n,y,y,unknown,y,y,y,n,n,n,y,y
154,democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
209,democrat,n,n,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
26,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
168,republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
49,democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
274,republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,unknown,y
383,democrat,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,unknown
230,republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y
75,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
206,democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
180,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
289,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
185,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
215,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
343,democrat,n,y,y,n,y,unknown,y,n,n,y,y,n,y,n,y,y
208,republican,y,unknown,n,y,y,y,y,n,n,y,n,y,y,y,n,y
361,democrat,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
202,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
136,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
318,democrat,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y
281,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
422,democrat,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y
175,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
78,democrat,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
189,republican,y,unknown,n,y,y,y,y,y,n,n,n,y,unknown,y,unknown,unknown
357,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
240,republican,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
418,democrat,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
257,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n
242,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
253,democrat,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
414,republican,y,y,y,y,y,y,y,y,n,y,unknown,unknown,unknown,y,n,y
91,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
344,republican,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y
37,republican,y,unknown,n,y,y,y,n,n,n,y,n,y,unknown,y,n,y
57,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
251,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
268,republican,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
306,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
183,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
323,democrat,y,y,y,n,unknown,y,n,unknown,n,n,y,n,y,y,n,unknown
349,democrat,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,unknown
255,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
8,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,unknown,y
293,democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
169,democrat,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,unknown
6,democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
61,democrat,y,y,y,n,n,unknown,y,y,y,y,n,n,n,n,y,unknown
297,republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y
346,republican,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y
390,democrat,y,n,y,n,n,n,y,y,y,unknown,y,n,n,n,y,unknown
113,democrat,n,unknown,y,n,n,y,y,y,n,y,n,n,n,n,y,unknown
304,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
147,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
298,democrat,y,y,y,n,n,y,y,y,y,y,n,n,unknown,n,y,unknown
405,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
406,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
11,republican,n,y,n,y,y,n,n,n,n,n,unknown,unknown,y,y,n,n
104,democrat,y,n,n,n,y,y,unknown,n,unknown,n,n,n,n,y,unknown,n
433,republican,n,unknown,n,y,y,y,n,n,n,n,y,y,y,y,n,y
162,democrat,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
381,democrat,y,y,y,n,n,y,unknown,y,y,n,y,n,y,n,y,y
331,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
103,democrat,y,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,unknown
428,republican,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
138,democrat,n,unknown,y,n,n,y,y,y,y,y,n,n,n,y,y,y
302,democrat,n,n,unknown,n,n,y,y,y,y,n,n,n,n,n,y,y
435,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,unknown,n
63,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,unknown
9,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
118,republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
399,democrat,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
134,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
102,democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
79,democrat,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
12,republican,n,y,n,y,y,y,n,n,n,n,y,unknown,y,y,unknown,unknown
4,democrat,n,y,y,n,unknown,y,n,n,n,n,y,n,y,n,n,y
88,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
23,democrat,y,unknown,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
94,democrat,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
423,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y
368,democrat,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,unknown
45,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,unknown
407,democrat,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
44,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
376,democrat,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
254,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
358,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
199,democrat,n,n,y,n,n,n,y,y,y,y,y,n,unknown,n,y,unknown
394,republican,unknown,unknown,unknown,unknown,n,y,n,y,y,n,n,y,y,n,n,unknown
19,republican,n,y,n,y,y,y,n,n,n,n,n,unknown,y,y,n,n
397,democrat,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y
365,republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
159,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
352,republican,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y
140,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
65,democrat,y,y,y,n,n,n,y,y,y,n,y,unknown,n,n,n,y
214,democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
64,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
177,republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
73,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
250,democrat,y,n,y,n,n,n,y,y,unknown,n,y,n,n,n,y,y
260,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
415,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
28,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
186,democrat,y,n,y,n,n,n,y,y,y,y,n,unknown,n,n,y,y
81,democrat,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,unknown
106,democrat,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
211,democrat,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
213,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
431,republican,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y
256,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
52,republican,n,y,n,y,y,y,n,unknown,n,n,n,y,y,y,n,y
114,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
192,republican,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,n,unknown
375,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
324,democrat,y,y,y,n,y,y,n,y,unknown,y,n,n,y,y,n,unknown
60,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
184,democrat,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown,unknown,unknown,unknown,unknown,unknown
362,democrat,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,unknown
152,democrat,y,y,unknown,y,y,y,n,n,y,n,y,unknown,y,y,n,n
387,democrat,n,unknown,y,n,y,y,n,y,n,n,y,n,n,n,n,unknown
300,democrat,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
303,republican,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
235,democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,unknown
200,democrat,y,y,n,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
36,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
282,republican,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,unknown
193,democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
182,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
181,democrat,unknown,unknown,y,n,n,n,y,y,y,unknown,unknown,n,n,n,unknown,unknown
238,democrat,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y
179,democrat,unknown,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,unknown
187,democrat,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
234,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
388,democrat,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,unknown
292,democrat,y,n,y,n,n,y,y,y,y,y,n,unknown,n,y,n,y
244,democrat,n,y,y,n,n,n,y,y,unknown,y,n,n,y,n,y,y
205,republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
355,democrat,n,y,y,n,n,y,y,y,y,y,n,unknown,n,n,y,y
223,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
137,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
35,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
149,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
220,democrat,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
385,democrat,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
3,democrat,unknown,y,y,unknown,y,y,n,n,n,n,y,n,y,y,n,n
216,democrat,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,unknown
170,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
32,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
227,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y
17,democrat,y,n,y,n,n,y,n,y,unknown,y,y,y,unknown,n,n,y
34,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
369,democrat,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y
40,democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
377,democrat,y,unknown,y,n,n,n,y,y,y,n,y,n,n,n,y,y
39,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
231,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
51,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
351,democrat,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y
317,democrat,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n
174,democrat,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
160,democrat,n,y,y,n,unknown,y,y,y,y,y,y,n,n,unknown,n,unknown
53,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
110,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
5,democrat,y,y,y,n,y,y,n,n,n,n,y,unknown,y,y,y,y
259,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
131,democrat,y,unknown,y,n,unknown,unknown,y,y,y,n,n,n,n,n,y,unknown
403,republican,unknown,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y
391,democrat,unknown,unknown,n,n,unknown,y,unknown,n,n,n,y,y,n,y,n,unknown
354,republican,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y
219,democrat,y,unknown,y,n,n,n,y,y,y,n,unknown,n,n,n,y,unknown
295,democrat,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,unknown
156,republican,y,y,n,y,y,y,n,unknown,n,n,y,y,y,y,n,n
178,democrat,n,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,y
425,democrat,n,y,y,n,n,unknown,y,y,y,y,y,n,unknown,y,y,y
412,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
396,democrat,y,y,y,unknown,n,n,n,y,n,n,y,unknown,n,n,y,y
173,democrat,n,y,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
18,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
204,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
373,democrat,n,y,y,y,y,y,n,n,n,n,y,y,unknown,y,n,n
371,democrat,y,y,y,n,unknown,y,y,y,n,y,unknown,unknown,n,n,y,y
312,democrat,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
89,democrat,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y
389,democrat,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,unknown
132,democrat,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
285,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,unknown,y
155,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
43,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
222,democrat,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,unknown
296,republican,n,y,n,y,y,y,unknown,unknown,n,y,n,y,unknown,unknown,unknown,unknown
402,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
171,democrat,y,n,y,n,n,n,unknown,y,y,unknown,n,n,n,n,y,unknown
33,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
98,democrat,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y
313,democrat,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
267,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
153,democrat,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
321,democrat,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y
69,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
228,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,unknown,y
125,democrat,n,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
148,democrat,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
290,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,unknown
286,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
95,democrat,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
372,democrat,y,y,y,n,unknown,n,y,y,y,y,n,n,n,n,y,unknown
360,republican,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
